timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
1140,0.0,0.0,0.0,16952324096,16926896128,539172864,5066149888,870903808,6787952640,8080035840,1.1,1004.1,1914.15,1.65,0.0015999999999621,0.0,10035.2,0.0,0.7000000000000001,0.0030000000000427,0.0145000000000436,0.0130000000002837,2
1170,0.0,0.0,0.0,16952324096,16926896128,536760320,5066158080,870903808,6785548288,8080035840,1.05,981.5,1870.95,0.1,0.0018000000000029,0.0,15974.4,0.0,1.7000000000000002,0.0009999999999536,0.0109999999998763,0.0129999999999199,2
1200,0.0,0.0,0.0,16952324096,16926896128,540364800,5066166272,870903808,6789160960,8080035840,1.1,1007.3,2007.65,1.65,0.0016000000000531,0.0,14950.4,0.0,1.5,0.0014999999999645,0.0125000000000909,0.0135000000000218,2
1230,0.0,0.0,0.0,16952324096,16926896128,539168768,5066178560,870903808,6787977216,8080035840,1.05,996.1,1896.3,0.05,0.0014000000000123,0.0,17203.2,0.0,1.8,0.0025000000000318,0.0095000000000254,0.0164999999997235,2
1260,0.0,0.0,0.0,16952324096,16926896128,531984384,5066240000,870920192,6780870656,8080035840,1.05,964.05,1790.85,1.65,0.0018000000000029,0.0,22323.2,0.0,1.9,0.0025000000000318,0.0125000000000909,0.0155000000002473,2
1290,0.0,0.0,0.0,16952324096,16926896128,536408064,5066252288,870920192,6785306624,8080035840,1.0,1003.6,1971.75,3.25,0.0018000000000029,0.0,15974.4,0.0,0.95,0.0029999999999972,0.0089999999999236,0.0165000000000873,2
1320,0.0,0.0,0.0,16952324096,16926896128,535715840,5066268672,870920192,6784630784,8080035840,1.15,1040.25,2074.0,0.05,0.0019999999999527,0.0,11878.4,0.0,0.8500000000000001,0.0034999999999627,0.0145000000002255,0.0134999999998399,2
1350,0.0,0.0,0.0,16952324096,16926896128,533958656,5066276864,870920192,6782881792,8080035840,1.1,987.4,1850.7,0.05,0.0014000000000123,0.0,11264.0,0.0,0.8,0.0020000000000209,0.012499999999909,0.0115000000005238,2
1380,0.15,0.03,0.01,16952324096,16926896128,537047040,5066285056,870920192,6785978368,8080035840,1.0,979.0,1854.95,1.65,0.0018000000000029,0.0,12902.4,0.0,1.4,0.0034999999999627,0.0100000000000363,0.0154999999998835,2
1410,0.09,0.03,0.01,16952324096,16926896128,536563712,5066297344,870928384,6785515520,8080035840,1.05,999.65,1827.2,1.65,0.0014000000000123,0.0,14745.6,0.0,1.55,0.0029999999999972,0.011999999999989,0.0135000000000218,2
